SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
061,09,001,00000,77200,00000,1,A,Trumbull town,Connecticut,36018,36011,36068,36359,36570,36629,36698,36545,36283,36154
061,09,001,00000,83430,00000,1,A,Weston town,Connecticut,10179,10179,10196,10302,10362,10387,10383,10376,10336,10331
061,09,001,00000,83500,00000,1,A,Westport town,Connecticut,26391,26387,26448,26813,27135,27403,27590,27912,27992,28042
061,09,001,00000,86370,00000,1,A,Wilton town,Connecticut,18062,18047,18080,18514,18646,18674,18689,18710,18634,18581
050,09,003,00000,00000,00000,0,N,Hartford County,Connecticut,894014,894031,895504,897778,898572,899765,898810,897626,895497,895388
157,09,003,08420,00000,00000,0,A,Bristol city,Connecticut,60477,60474,60497,60638,60697,60683,60666,60599,60380,60223
157,09,003,37000,00000,00000,0,A,Hartford city,Connecticut,124775,124775,125403,125572,125399,125420,124863,124510,123853,123400
157,09,003,50370,00000,00000,0,A,New Britain city,Connecticut,73206,73202,73273,73348,73288,73218,73162,73322,72923,72710
157,09,003,99990,00000,00000,0,S,Balance of Hartford County,Connecticut,635556,635580,636331,638220,639188,640444,640119,639195,638341,639055
061,09,003,00000,02060,00000,1,A,Avon town,Connecticut,18098,18096,18167,18223,18307,18375,18408,18376,18381,18352
061,09,003,00000,04300,00000,1,A,Berlin town,Connecticut,19866,19870,19903,20190,20501,20611,20636,20588,20561,20505
061,09,003,00000,05910,00000,1,A,Bloomfield town,Connecticut,20486,20480,20496,20563,20649,20663,20817,20743,20604,21406
061,09,003,00000,08490,00000,0,C,Bristol town,Connecticut,60477,60474,60497,60638,60697,60683,60666,60599,60380,60223
071,09,003,08420,08490,00000,1,A,Bristol city,Connecticut,60477,60474,60497,60638,60697,60683,60666,60599,60380,60223
